"BehaviorSpace results (NetLogo 7.0.4)","Table version 2.0"
"netlogo/Segregation.nlogox"
"segregation-reference"
"05/23/2026 18:09:07:472 +1000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","visualization","density","%-similar-wanted","[step]","ticks","count turtles","percent-similar","percent-unhappy","count turtles with [not happy?]"
"416","old","80","20","8","8","2077","57.85928143712575","0","0"
"418","old","80","20","6","6","2138","57.93583191368541","0","0"
"417","old","80","20","10","10","2084","57.70496708557749","0","0"
"419","old","80","20","7","7","2044","58.11250581125058","0","0"
"420","old","80","20","6","6","2025","58.25935320228282","0","0"
"421","old","80","25","6","6","2098","59.17684700407213","0","0"
"422","old","80","25","7","7","2070","59.577338129496404","0","0"
"423","old","80","25","12","12","2092","58.75896385189522","0","0"
"424","old","80","25","7","7","2098","60.878477306002935","0","0"
"425","old","80","25","7","7","2046","59.090210542492706","0","0"
"426","old","80","25","7","7","2083","59.49873943348658","0","0"
"428","old","80","25","8","8","2085","60.89459698848538","0","0"
"429","old","80","25","7","7","2096","58.77372262773722","0","0"
"427","old","80","25","10","10","2075","60.83507931756959","0","0"
"430","old","80","25","7","7","2103","58.42663952304784","0","0"
"434","old","80","25","6","6","2074","60.98399880364887","0","0"
"431","old","80","25","8","8","2071","57.00627427547057","0","0"
"433","old","80","25","8","8","2062","60.96896290688873","0","0"
"432","old","80","25","10","10","2045","60.699969164353995","0","0"
"435","old","80","25","7","7","2065","58.48006019563582","0","0"
"436","old","80","25","6","6","2094","60.19674056673029","0","0"
"438","old","80","25","6","6","2063","61.437415068699984","0","0"
"437","old","80","25","8","8","2073","59.447696232928116","0","0"
"439","old","80","25","7","7","2069","57.33613950691522","0","0"
"440","old","80","25","7","7","2101","59.601686291612154","0","0"
"441","old","80","25","7","7","2086","59.54142011834319","0","0"
"442","old","80","25","9","9","2070","59.69769530080814","0","0"
"443","old","80","25","7","7","2100","59.65296004666083","0","0"
"444","old","80","25","7","7","2082","59.80056556035124","0","0"
"445","old","80","25","8","8","2092","60.418508694370765","0","0"
